Sentiment,SentimentText
0,กินขี้ปี้เยี่ยว
0,อีปลาเงือก
0,ไอ้ส้นตีน
0,เสือกพะยูน
0,พ่อมึง
0,แม่มึง
0,พ่อง
0,แม่ง
0,พ่อมึงตาย
0,แม่มึงตาย
0,ควย
0,หี
0,เจี๊ยว
0,แดก
0,ขี้
0,เยี่ยว
0,ขึ้แตก
0,จรวย
0,ไอเข้
0,ไอ้สัส
0,ขายตัว
0,ลูกอีกะหรี่
0,ลูกอีดอกทอง
0,ลูกอีสาด
0,ยัดแม่
0,ฟักยู
0,อีอับปรี
0,อีกระหรี่
0,อีกะหรี
0,อีชาติชั้ว
0,อีช้างเย๊ด
0,อีห่า
0,อยากเอาหญิง
0,ระยำ
0,ทมิฬ
0,ลูกโสเภณี
